ID,ID_DEPARTAMENTO,ACUMULADO_VENTAS,ID_TURNO,ACUMULADO_GANANCIAS
357,8,85.0,48,22.54
345,12,163.0,47,45.42
339,15,36.0,46,11.1
358,14,40.0,48,15.43
359,5,340.0,48,81.7
360,6,1064.0,49,422.6321
361,7,5341.0,49,972.0598
362,1,24.0,49,24.0
371,12,371.0,50,124.2568
372,8,1008.0,50,200.14
363,12,143.0,49,60.7478
373,7,12176.0,50,2295.07
374,9,3041.0,50,526.5274
381,7,9780.0,51,1916.17
386,6,1921.0,51,656.37
382,10,892.0,51,227.4356
346,8,1124.0,47,200.19
375,6,2551.0,50,933.9205
387,12,209.0,51,61.0856
383,9,2086.0,51,368.4569
384,1,83.0,51,83.0
364,10,414.0,49,105.9019
388,8,631.0,51,198.07
389,5,630.0,51,152.0
365,11,207.0,49,90.82
366,14,23.0,49,7.93
390,15,12.0,51,3.7
264,14,120.0,38,51.0
367,8,287.0,49,61.0
385,11,282.0,51,97.17
368,9,2216.0,49,376.0817
391,14,10.0,51,5.0
347,5,990.0,47,144.2
392,7,2573.0,52,559.54
393,10,129.0,52,35.17
401,7,23397.0,53,4400.51
369,5,194.0,49,49.02
394,11,88.0,52,27.66
402,5,1391.0,53,324.5921
379,14,70.0,50,18.93
395,9,1168.0,52,195.5091
396,6,769.0,52,283.53
376,10,1222.0,50,306.6678
377,11,565.0,50,213.2
403,10,1550.0,53,408.1546
404,9,3283.0,53,554.9324
397,12,28.0,52,9.34
405,6,3655.0,53,1395.3842
411,7,16028.0,54,3203.91
406,12,323.0,53,104.2178
412,6,3320.0,54,1221.5442
421,7,6738.0,55,1445.91
422,9,2697.0,55,512.5998
398,8,223.0,52,76.02
423,6,1854.0,55,525.4621
399,1,47.0,52,47.0
431,10,2004.0,56,492.7435
413,9,8083.0,54,1405.5851
424,11,356.0,55,123.77
432,5,2942.0,56,444.3465
433,12,502.0,56,167.0278
434,7,25054.0,56,5659.8
425,12,121.0,55,35.8856
414,10,1647.0,54,416.3301
378,1,82.0,50,82.0
435,6,5616.0,56,1894.4321
426,10,636.0,55,172.6747
415,12,286.0,54,83.5256
436,8,2112.0,56,548.39
437,11,1225.0,56,485.55
438,1,260.0,56,260.0
439,9,11465.0,56,1977.1927
440,14,70.0,56,23.86
407,8,3394.0,53,994.2
441,10,1831.0,57,458.9224
442,6,4834.0,57,1661.8142
400,14,10.0,52,3.0
443,12,349.0,57,111.7056
427,5,206.0,55,52.3064
444,7,25732.0,57,6128.22
445,9,10309.0,57,1800.8922
446,11,1470.0,57,539.76
416,11,677.0,54,282.33
447,1,318.0,57,318.0
417,14,160.0,54,38.0
449,8,3031.0,57,860.84
452,7,4830.0,58,1169.43
451,15,18.0,57,5.55
453,9,1383.0,58,229.71
455,15,18.0,58,5.55
428,1,52.0,55,52.0
418,1,560.0,54,560.0
454,10,209.0,58,48.105
456,11,84.0,58,23.16
457,6,843.0,58,185.4
458,12,48.0,58,13.16
459,8,670.0,58,197.09
450,14,40.0,57,13.43
460,5,405.0,58,107.34
448,5,263.0,57,63.1608
408,1,163.0,53,163.0
462,9,16699.0,59,2898.92
461,1,10.0,58,10.0
463,5,1298.0,59,282.0726
419,8,172.0,54,48.9
409,11,778.0,53,341.01
410,14,50.0,53,12.93
429,8,411.0,55,103.39
370,15,24.0,49,7.4
380,5,714.0,50,194.51
420,5,1061.0,54,105.6769
430,14,20.0,55,5.5
464,12,296.0,59,92.53
465,10,2720.0,59,664.2309
466,7,42287.0,59,8577.96
472,7,44245.0,60,10067.74
467,14,60.0,59,17.43
473,9,8978.0,60,1687.53
468,6,5539.0,59,1861.2236
474,1,303.0,60,303.0
475,10,2265.0,60,564.3595
482,15,24.0,60,7.4
481,14,20.0,60,5.5
470,8,1635.0,59,461.02
469,11,1240.0,59,377.84
471,1,615.0,59,615.0
476,11,1277.0,60,363.97
477,8,3346.0,60,871.42
478,6,4316.0,60,1540.9936
483,10,279.0,61,62.66
484,6,647.0,61,201.3718
485,9,1002.0,61,180.43
479,12,336.0,60,109.3658
486,7,2828.0,61,705.39
491,6,3531.0,62,1230.2118
480,5,587.0,60,160.5139
492,9,6741.0,62,1216.58
487,8,215.0,61,57.0
488,1,40.0,61,40.0
493,10,1130.0,62,266.8678
494,7,24439.0,62,5198.48
495,5,1285.0,62,300.2963
496,11,787.0,62,210.4
497,12,257.0,62,86.24
489,12,39.0,61,12.0586
